Company name,Status,Industry,Salary-Cuts,Location
Bookmerilab,Hiring freezes,Healthcare,No,Delhi
Bookmyshow,Hiring freezes,Media & Entertainment,Yes,India
Boston Consulting Group,Hiring freezes,Consulting & Services,No,
Boston Consulting Group,Layoffs,Consulting & Services,No,
Bounce,Layoffs,Travel & Transportation,Yes,India
Bounce,Layoffs,Travel & Transportation,No,Bangalore
Bounce,Hiring freezes,Travel & Transportation,Yes,"Bangalore, Hyderabad"
BP,Hiring freezes,Energy,No,Global
Bright Money,Hiring,Financial Services,No,"Bangalore, San Francisco"
Brillio Technologies,Hiring freezes,Information Technology,Yes,
British Telecom,Hiring freezes,Communications,No,
BrowserStack,Hiring,Business Software,No,Mumbai
Burgundy,Hiring,Financial Services,,India
Business Standard,Hiring freezes,Media & Entertainment,Yes,India
BYJU'S,Hiring,Education Tech,No,India
"Byjus, learnin app",Hiring freezes,Education Tech,No,India
ByteDance - Tiktok,Hiring,Information Technology,,India
ByteDance - Tiktok,Hiring,Consumer Tech,,
Cactus Communications,Hiring,Media & Entertainment,No,Mumbai
Cactus Communications,Hiring freezes,Communications,No,
CallHub,Hiring,Consulting & Services,,India
Candid Knots,Hiring freezes,Retail,,India
CanvasJS,Hiring,IT Infrastucture,No,Bangalore
Capgemini,Offer rescinded,IT Infrastucture,No,Mumbai
Capgemini,Hiring freezes,IT Infrastucture,No,
Capgemini,Offer rescinded,Consulting & Services,No,India
Capillary,Layoffs,Business Software,Yes,
Capillary Technologies,Layoffs,Productivity Software,,Bangalore
Capita india,Hiring freezes,Venture Capital,No,
Capital Float,Hiring freezes,Financial Services,No,India
CapitalVia Global Research,Hiring,Financial Services,No,Indore
CapitalVia Global Research,Hiring,Financial Services,,India
Careem,Hiring freezes,Travel & Transportation,No,Dubai
CareerVsCOVID19,Hiring,HR Tech,,Mumbai
Cars24,Hiring,Automotive,,India
Cartesian Consulting,Layoffs,Consulting & Services,Yes,"Bangalore, Mumbai, Gurgaon"
Cartesian Consulting,Hiring freezes,Consulting & Services,Yes,India
CarWale,Hiring,Marketing & Advertising,No,Mumbai
CashFlo,Hiring,Financial Services,No,Mumbai
Cashify,Hiring freezes,Consumer Tech,Yes,Gurgaon
Catterpillar Technologies,Layoffs,Business Software,Yes,bangalore
Cavinkare Private Limited,Hiring freezes,Consumer Goods,No,
CGI,Hiring,Consulting & Services,,India
CGI,Offer rescinded,Consulting & Services,,
Chaipoint,Hiring freezes,Food & Dining,Yes,Bangalore
Chalo,Hiring,Travel & Transportation,No,Navi Mumbai
Channelplay,Layoffs,Marketing & Advertising,Yes,Gurgaon
Channelplay,Layoffs,,Yes,
Charmboard,Hiring freezes,Media & Entertainment,Yes,Bangalore
Chegg,Hiring,Education Tech,No,"India, US, Isreal"
Chegg Inc.,Hiring,Education Tech,,Delhi
Chembond Chemicals Ltd,Hiring,Manufacturing,No,"Mumbai,Navi Mumbai"
Chesapeake Group,Hiring,Financial Services,,Bangalore
Chilton Refrigeration Pvt Ltd,Hiring,Manufacturing,,"Ahmedabad , Kochi , Chennai"
CHLEAR,Hiring freeze,Marketing & Advertising,Yes,Bangalore
Ciena India,Hiring,Communications,No,Gurgaon
Cipla,Hiring freezes,Healthcare,No,
Cisco Systems,Hiring,Business Software,No,Bangalore
Citi,Hiring,Financial Services,No,Pune
CITRIX,Hiring,IT Infrastucture,No,Global
City Mall,Hiring,Real Estate,,India
CityMall,Hiring,Consumer Services,No,Gurgaon
Clarisights,Layoffs,Business Software,Yes,Bangalore
Clear Tax,Hiring freezes,Business Software,No,India
ClearTax,Hiring freezes,Financial Services,No,Bangalore
Cleartax,Hiring freezes,Financial Services,No,India
Cleartrip,Layoffs,Travel & Transportation,Yes,Begaluru
CleverTap,Layoffs,Information Technology,Yes,"Mumbai, Singapore, San Francisco"
