Company name,Status,Industry,Salary-Cuts,Location
Infosys india,Hiring freezes,Consulting & Services,No,Pune
InMobi,Hiring freezes,Marketing & Advertising,No,Bangalore
InMobi,Hiring freezes,Business Software,Yes,India
InMobi,Hiring freezes,Marketing & Advertising,Yes,Bangalore
Innovaccer,Hiring freezes,Healthcare,No,Noida
Innowise,Layoffs,Consulting & Services,Yes,Pune
Insider,Hiring,Media & Entertainment,No,"Mumbai, Bangalore, Delhi"
Instamojo,Layoffs,Financial Services,Yes,
Intel,Hiring freezes,IT Infrastucture,No,India
Intellect design,Hiring,Business Software,Yes,Across globe
Interactive Brokers India,Hiring,Financial Services,,
InterGlobe Aviation (IndiGo),Hiring freezes,Travel & Transportation,Yes,india
Intueri Consulting LLP,Hiring freezes,Consulting & Services,No,"Kolkata, Bangalore"
Intuit,Hiring,Consulting & Services,No,
Iquanti,Hiring,Productivity Software,No,"India,US"
IQuanti India,Hiring,Productivity Software,No,"India,US"
IQuanti India Pvt Ltd,Hiring,Productivity Software,No,"India,US"
IQVIA,Hiring,Healthcare,,India
Ishi Systems,Hiring,Business Software,No,Ahmedabad
ITC,Hiring,Consumer Goods,,
Itilite,Layoffs,Travel & Transportation,Yes,"Bangalore, Delhi, Mumbai"
IVY Comptech,Hiring,Consulting & Services,No,Hyderabad
Ixigo,Hiring freezes,Travel & Transportation,Yes,Gurugram
Jagsfresh Pvt. ltd.,Hiring,E-Commerce,,Delhi
JMR,Hiring,E-Commerce,No,
John Deere,Layoffs,Manufacturing,,
Johnson controls,Hiring freezes,Productivity Software,No,
Jombay,Layoffs,HR Tech,Yes,Pune
JP Morgan Chase,Hiring freezes,Financial Services,No,
JTG E-Business Software,Hiring,IT Infrastucture,No,Gurugram
Jubilant Foodworks Ltd.,Hiring freezes,Food & Dining,No,Noida
Jumbo Electronics,Layoffs,Retail,No,UAE
Junglee Games Pvt. Ltd.,Hiring,Information Technology,No,Gurgaon
Jupiter,Hiring,Financial Services,No,"Mumbai, Bangalore"
JusPay,Hiring,Financial Services,No,Bangalore
Justdial,Hiring freezes,Media & Entertainment,Yes,Bangalore
Justmyroots,Hiring,E-Commerce,No,
kabbage inc,Layoffs,Financial Services,Yes,Bangalore
Kaizen consultants,Hiring,Consulting & Services,,Multiple locations
Kaizen SRA Technologies,Hiring,Consulting & Services,,"Andhra Pradesh, Bangalore"
Kalpan Test,Hiring,,No,
Kearney,Hiring freezes,Consulting & Services,No,India
Khatabook,Hiring,Consumer Tech,No,Bangalore
Kimp,Hiring freezes,Marketing & Advertising,Yes,"Toronto, Bangalore"
Kiprosh,Hiring,Information Technology,,Mumbai
Kloud9 technologies,Layoffs,IT Infrastucture,No,Bangalore
Klub Works,Layoffs,Financial Services,Yes,Bangalore
Klub Works,Layoffs,Financial Services,Yes,Bangalore
Klubworks,Layoffs,Financial Services,,Bangalore
Kohinoor,Hiring freezes,Real Estate,No,Pune india
Kohler India,Hiring freezes,Consumer Goods,No,
Koovs,Layoffs,Consumer Tech,Yes,India
Koru UX Design LLP,Layoffs,IT Infrastucture,Yes,Pune
Koru UX Design LLP,Layoffs,Information Technology,Yes,Pune
Koru UX Design LLP,Hiring freezes,Information Technology,Yes,Pune
Koru UX Design LLP,Offer rescinded,Information Technology,Yes,Pune
Koshex,Hiring freezes,Financial Services,No,Bangalore
KPMG,Hiring freezes,IT Infrastucture,No,London
KPMG Advisory,Hiring freezes,Consulting & Services,No,
KPMG Global Services,Hiring,Consulting & Services,No,India
KPMG INDIA,Hiring freezes,Consulting & Services,No,
KRDS Digital Asia,Hiring,Marketing & Advertising,No,"Chennai,Singapore"
Kronos Solution,Hiring freezes,Business Software,No,Noida
Kronos Solutions,Hiring,Business Software,No,Noida
Kuber bank,Hiring,Financial Services,No,Bangalore
LabourNet,Hiring freezes,Consulting & Services,Yes,India
Lalamove,Hiring,Travel & Transportation,No,"Mumbai, Gurgaon"
Landmark Group,Layoffs,Retail,No,Bangalore
Langoor,Hiring,Media & Entertainment,,India
Larsen and Toubro Infotech,Hiring,Consulting & Services,No,"Mumbai, Chennai, Pune"
LBB-Little Black Book,Hiring freezes,Marketing & Advertising,Yes,Delhi
Leadsquared,Hiring,,No,
Leap,Hiring,Consumer Tech,,India
Leap.Club,Hiring,Consumer Services,,Gurgaon
Leena AI,Hiring,HR Tech,No,"Gurgaon, Mumbai, New York"
Leena AI,Hiring,Business Software,,India
Lemnisk,Hiring freezes,Marketing & Advertising,No,India
LendingClub,Offer rescinded,Financial Services,No,San Francisco
LendingKart,Hiring,Financial Services,,India
Lendingkart,Hiring freezes,Financial Services,,
Lenovo,Hiring,Business Software,,India
Lenskart.,Hiring,Consumer Goods,,India
Lenskart.com,Offer rescinded,E-Commerce,Yes,"Delhi, bangalore"
Lenskart.com,Hiring freezes,E-Commerce,Yes,
LetsEndorse,Hiring,Consumer Services,No,"Bangalore, Lucknow"
Licious,Hiring,Consumer Goods,No,
Lido Learning,Hiring freezes,Education Tech,Yes,Gurgaon
Lido Learning,Hiring,Education Tech,No,
Lido Learning,Hiring,Education Tech,No,"Mumbai, Bangalore"
Lido Learning,Hiring,Education Tech,,India
LilGoodness,Hiring,Consumer Goods,,India
LimeRoad,Hiring freezes,Consumer Goods,Yes,Gurgaon
LinkedIn,Hiring freezes,Consumer Tech,,
Lithium Urban Technologies,Hiring,Travel & Transportation,,"NCR, Pune, Bangalore, Hyderabad"
Lithium Urban Technologies,Hiring,Manufacturing,,India
Livspace,Hiring freezes,,No,"India, Singapore"
Locofast,Hiring,Consumer Goods,,India
Loconav,Layoffs,Business Software,Yes,Gurgaon
Lodha Group,Hiring freezes,Real Estate,Yes,Mumbai
Loved,Hiring,Financial Services,No,Gurgaon
Lowe's,Hiring,IT Infrastucture,No,
Lucideus,Hiring freezes,Consulting & Services,No,New Delhi
Luminescent Digital,Layoffs,IT Infrastucture,Yes,kerala
LVMH - Moet Hennessy,Hiring,Consumer Goods,,Mumbai
Macquarie Capital,Hiring freezes,Financial Services,No,South East Asia
Madura Coats Pvt. Ltd.,Hiring freezes,,Yes,
Maersk,Hiring freeze,Manufacturing,,India
Maersk,Hiring freezes,Travel & Transportation,No,
Magicpin,Layoffs,Retail,Yes,
Magma FinCorp,Hiring freezes,Financial Services,No,Mumbai
Mahindra Holidays,Hiring,Hospitality,No,Mumbai
Majid Al Futtiam,Hiring,Retail,No,Gurgaon
MakeMyTrip,Hiring freezes,Travel & Transportation,Yes,"Bangalore, Gurgaon"
MakeMytrip,Layoffs,Travel & Transportation,Yes,
Malik agencies,Hiring,Marketing & Advertising,,India
Mamaearth,Hiring,Consumer Goods,No,India
MAMTA Health Institute,Hiring freezes,Healthcare,Yes,
Manipal Global Education,Hiring freezes,Education Tech,No,Bangalore
Manipal University Jaipur,Hiring,Communications,No,India
ManipalCigna,Hiring,Financial Services,No,India
Manya Education Pvt. Ltd.,Hiring freezes,Education Tech,Yes,Delhi
MAPE Advisors,Hiring freezes,Financial Services,,
MarketsandMarkets,Layoffs,Financial Services,,Pune
MarketsandMarkets,Layoffs,Financial Services,,Pune
MarketsandMarkets,Layoffs,Consulting & Services,No,Pune
Markle Sokrati,Offer rescinded,Business Software,Yes,
Marriot,Layoffs,Hospitality,Yes,Global
Mars Wrigley Confectionery,Hiring freezes,Consumer Goods,No,Gurgaon
Marsh India Insurance,Hiring,Financial Services,No,"Mumbai, Chennai, Bangalore"
Marvel tours pvt ltd,Hiring freezes,Travel & Transportation,Yes,"Bangalore, Cochin, Chennai"
Mathworks,Hiring,Business Software,,Global
Matic Network,Hiring,IT Infrastructure,,India
Matic Network,Hiring,Consumer Tech,No,Bangalore
McAfee,Hiring freezes,Business Software,No,
Media.net,Hiring,Marketing & Advertising,,Mumbai
Media.net,Hiring freezes,Marketing & Advertising,,Mumbai
MediaMelon,Hiring,Marketing & Advertising,,India
Medlife,Layoffs,Healthcare,,Bangalore
Medlife,Layoffs,Healthcare,,Bangalore
Medlife International,Layoffs,Healthcare,Yes,Bangalore
Meesho,Layoffs,Consumer Services,No,Bangalore
Meesho,Layoffs,Consumer Tech,No,Bangalore
Meesho,Hiring freezes,Consumer Services,No,Bangalore
Melorra,Hiring freezes,,Yes,Bangalore
Meredith India,Hiring,Media & Entertainment,No,Bangalore
Merilytics,Hiring,Consulting & Services,,India
Merittrac,Hiring freezes,Education Tech,No,Bangalore
mfine,Hiring freezes,Healthcare,No,Bangalore
mfine,Hiring freezes,Healthcare,Yes,Bangalore
Michael Page,Hiring,Financial Services,,Mumbai
Michael Page,Hiring freezes,Consulting & Services,Yes,
Michael Page,Hiring,HR Tech,,India
Michelin India,Hiring freeze,Automotive,,India
Microsoft,Hiring,Consumer Tech,,India
Microsoft,Hiring freezes,Consumer Tech,,Bangalore
Microsoft,Hiring freezes,Productivity Software,No,India
Mindship,Hiring,Consulting & Services,No,Full Remote
mindtree,Layoffs,,,
Mirable Health Services,Layoffs,Healthcare,Yes,Bangalore
Mobikwik,Hiring,Financial Services,No,India
Mobile Premier League,Hiring,Consumer Tech,No,"Bangalore, Indonesia"
MoEngage,Hiring freezes,Marketing & Advertising,,"India, California"
MongoDB,Hiring,Business Software,No,
Moody Analytics,Hiring,,No,India
Moolya Software Testing,Hiring,Information Technology,,Bangalore
Moolya Software Testing,Hiring,Consulting & Services,No,Bangalore
Mosaic Wellness,Hiring,Consumer Goods,No,Mumbai
motherson,Hiring freezes,,Yes,
MSX International,Layoffs,Consulting & Services,Yes,"Mumbai, Gurgaon, Detroit"
Mu Sigma,Hiring freezes,Consulting & Services,,Bangalore
Murugappa group,Hiring,Manufacturing,No,"Hyderabad, Chennai"
MX Player,Hiring,Media & Entertainment,,India
Mygate,Hiring,Consumer Tech,No,
myHQ,Hiring freezes,Real Estate,,India
Myntra,Hiring freezes,Consumer Goods,No,Bangalore
MyOperator,Layoffs,Business Software,Yes,Delhi
myPAT,Hiring,Education Tech,No,South Delhi
Mystifly,Layoffs,Travel & Transportation,Yes,
Mystifly,Hiring,Business Software,No,Bangalore
Nagarro,Hiring freezes,Consulting & Services,Yes,Gurgaon
Nandan Denim ltd,Hiring freezes,Manufacturing,No,
Nanonets,Hiring,Business Software,,Mumbai
Navata Road Transport,Hiring,Travel & Transportation,No,India
Navata Road Transport,Hiring,Manufacturing,,India
NBCUniversal,Layoffs,Media & Entertainment,Yes,United States
Near,Hiring freezes,Marketing & Advertising,No,Bangalore
NearPe,Hiring,Financial Services,,India
Nektar.ai,Hiring,Productivity Software,No,"India, Singapore"
Nestaway technologies,Hiring freezes,Real Estate,No,
Nestaway Technologies,Hiring freezes,Real Estate,Yes,Across India
Nestl,Hiring,Consumer Services,No,
NetEnrich,Hiring freezes,Consulting & Services,Yes,"Hyderabad,San Jose,Tokyo"
Netflix,Hiring,Media & Entertainment,,Mumbai
Netmeds,Hiring,Healthcare,No,India
Netomi.com,Layoffs,Productivity Software,No,India
Network Intelligence India,Hiring,Consulting & Services,No,India
Neudesic,Layoffs,Consulting & Services,Yes,Bangalore
neutrinos,Hiring,Business Software,,India
Newgen software,Hiring,,No,
Newgen softwares,Hiring,Financial Services,No,Noida
News Nation,Layoffs,Media & Entertainment,,India
Newton School,Hiring,Education Tech,No,Bangalore
Next Education India Pvt Ltd,Hiring freezes,Education Tech,Yes,Hyderabad
Nextgen clearing,Hiring freezes,Communications,,"India, UK"
Nihilent Limited,Hiring,Business Software,No,"Pune, India"
Niki.Ai,Layoffs,Business Software,Yes,Bangalore
Nikulsan Digital,Layoffs,Marketing & Advertising,Yes,
Ninjacart,Layoffs,Business Software,Yes,
Ninjacart,Hiring,Consumer Goods,No,India
Ninjacart,Hiring,Retail,,India
NIRA,Hiring,Financial Services,,Bangalore
NIRA FInance,Hiring,Financial Services,No,Bangalore
NISG,Hiring freezes,Consulting & Services,No,India
NoBroker,Hiring,Real Estate,No,Bangalore
Nokia,Hiring freezes,Business Software,No,Bangalore
Novartis,Hiring,Healthcare,No,Hyderabad
Numocity,Hiring,Business Software,No,Bangalore
Nurturing Green,Layoffs,Retail,Yes,Noida
Nutanix,Hiring freezes,IT Infrastucture,No,
Nutravo Lifecare Pvt Ltd,Layoffs,Healthcare,Yes,Gurgaon
Nvidia,Hiring,Automotive,No,india
Nykaa,Hiring freezes,Retail,No,
O.C. Tanner,Hiring freezes,HR Tech,,"India, US"
Oaknorth global,Hiring freezes,Financial Services,No,Gurgaon
Observe.ai,Hiring,Business Software,,"Bangalore, San Francisco"
Observe.ai,Hiring,Business Software,,Bangalore
OkCredit,Hiring,Financial Services,,Bangalore
OkCredit,Hiring,Financial Services,,India
Ola,Hiring,Travel & Transportation,No,India
Ola,Hiring freezes,Travel & Transportation,Yes,Bangalore
Ola,Hiring freezes,Travel & Transportation,Yes,Bangalore
OLX,Hiring freezes,Consumer Tech,No,India
OLX,Hiring,Travel & Transportation,,India
OML,Hiring,Media & Entertainment,No,
Onco,Hiring,Healthcare,,Bangalore
One97,Layoffs,Communications,,India
OneDirect,Hiring,Business Software,No,
OneMenu,Hiring,Food & Dining,,"Pune, Delhi"
OneMenu,Hiring,Consumer Tech,,India
Onsite Electro Services,Hiring,Consumer Services,No,"Mumbai,Gujarat,Hyderabad"
Oorwin Labs,Hiring,HR Tech,No,"Hyderabad, Bangalore"
OpenText,Hiring,Business Software,No,
Oracle india,Hiring freezes,Financial Services,No,"Bangalore, Pune, Mumbai"
Orient Electric Limited,Hiring freeze,Consumer Goods,,Delhi
Orient Electric Limited,Hiring freezes,Consumer Goods,Yes,Delhi
OYO,Layoffs,Hospitality,Yes,"India, China"
OYO,Hiring freezes,Hospitality,Yes,
OYO,Layoffs,Hospitality,Yes,India
OYO,Layoffs,Travel & Transportation,Yes,Gurgaon
Paix technology,Layoffs,Automotive,Yes,Mumbai
Paper.vc,Hiring,Venture Capitalist,,India
PayPal,Hiring,Financial Services,No,
Paytm,Hiring,Consumer Services,No,India
PayU,Hiring,Financial Services,No,Gurgaon
Pearl Global Industries Ltd.,Layoffs,Manufacturing,Yes,
PepsiCo,Hiring,Consumer Goods,No,India
Performics India,Hiring,Marketing & Advertising,No,Mumbai
Petrofac,Hiring freezes,Consulting & Services,Yes,
Phablecare,Hiring,Healthcare,No,Bangalore
PharmEasy,Hiring freezes,Healthcare,No,"Mumbai, Bangalore"
Phenom People,Layoffs,HR Tech,Yes,Hyderabad
Phenompeople,Hiring freeze,HR Tech,No,Hyderabad
Phenompeople,Hiring freeze,Business Software,No,Hyderabad
Phenompeople,Hiring freezes,HR Tech,No,Hyderabad
Phi Space,Hiring,Manufacturing,,"Mumbai, Hyderabad"
Phi Space,Hiring,Real Estate,,India
PhonePe,Hiring,Financial Services,No,"Bangalore, Pune"
Pickyoutrail,Hiring freezes,Travel & Transportation,Yes,"Chennai , Coimbatore"
Piggy,Layoffs,Financial Services,Yes,Bangalore
Pine labs,Hiring freezes,Financial Services,Yes,Noida
PineLabs,Hiring,Financial Services,,Bangalore
Piramal Pharma Solutions,Hiring freezes,Healthcare,No,
Pitstop,Layoffs,Automotive,Yes,Bangalore
PlanetSpark,Hiring,Consumer Tech,,Gurgaon
PlanetSpark,Hiring,Consumer Tech,,India
Policy Bazaar,Offer rescinded,Financial Services,,India
Policy Bazaar,Hiring freezes,Financial Services,No,India
Polycab,Hiring freezes,Manufacturing,No,India
Polymedicure Ltd,Hiring,Healthcare,,India
Postman,Hiring,IT Infrastucture,No,"Bangalore, San Francisco"
Practo,Hiring freezes,Healthcare,Yes,Bangalore
Pride Circle,Hiring,Consulting & Services,No,India
Primathon Technologies,Hiring,Consulting & Services,No,Gurgaon
Prione,Hiring,Retail,,India
Prione (amazon Jv),Hiring,Consumer Tech,,Metro cities
Prione,Hiring,Retail,,Bangalore
Prione Business Services,Hiring,Retail,,India
ProcMart,Hiring,Consulting & Services,No,"India, Malaysia"
Procol,Hiring,Business Software,No,Gurgaon
Propelld,Hiring,HR Tech,,India
Propkart,Hiring freezes,Real Estate,No,Bangalore
Protegrity,Hiring,Business Software,,Navi Mumbai
Provana,Layoffs,Financial Services,Yes,Noida
Provar,Hiring freezes,IT Infrastucture,Yes,"India,Nashville, Tennessee"
PSI Services,Hiring freezes,Information Technology,Yes,"California,Cheltenham"
Publicis.Sapient,Hiring,Business Software,No,
Pure Storage,Hiring,Business Software,No,United States
Purplle.com,Hiring,Retail,No,Mumbai
PwC,Hiring freeze,Consulting & Services,,India
PwC India,Hiring freezes,Consulting & Services,Yes,India
Qualcomm,Hiring,Manufacturing,,Bangalore
Qualitrix,Hiring,IT Infrastucture,No,Bangalore
Quantiphi,Layoffs,IT Infrastucture,No,"US, india"
Quess Corp Ltd.,Hiring freezes,Consulting & Services,Yes,India
QuEST Global,Hiring freezes,Consulting & Services,No,India
Quest Global,Hiring freezes,Consulting & Services,Yes,Worldwide
Quest Global Engineering,Layoffs,Consulting & Services,No,India
Quick Ride,Hiring freezes,Travel & Transportation,Yes,
Quikr,Layoffs,Consumer Services,Yes,"Bangalore, Delhi, Mumbai"
Quint,Hiring freeze,Media & Entertainment,Yes,India
R1 RCM,Hiring,Healthcare,No,
Railyatri,Hiring freezes,Travel & Transportation,Yes,India
Ramniklal B kothary,Layoffs,Consumer Goods,,(Remote)
Rapido,Hiring,Travel & Transportation,,Multiple
Rapyuta Robotics,Hiring,Business Software,,India
Rapyuta Robotics,Hiring,IT Infrastucture,,
RateGain,Hiring freezes,Travel & Transportation,Yes,Noida
Rategain,Layoffs,Travel & Transportation,Yes,
RAW Pressery,Hiring,Consumer Goods,,"Chennai, Bangalore, Hyderabad"
Raymond Apparel Ltd,Layoffs,Consumer Goods,No,India
Razorpay,Hiring,Communications,No,
RBL Bank,Hiring freezes,Financial Services,No,PAN INDIA
RBL bank,Hiring,Financial Services,No,Mumbai
Reckitt Benckiser India,Hiring,Consumer Goods,No,
Recko,Hiring,Business Software,No,Bangalore
Recko.io,Layoffs,Business Software,Yes,Bangalore
Recruiterflow,Hiring,Business Software,No,Bangalore
Red Hat India,Hiring,Business Software,No,
Redbus,Hiring freezes,Travel & Transportation,Yes,India
Reflektive,Hiring freezes,HR Tech,Yes,Bangalore
Reflektive,Offer rescinded,HR Tech,Yes,Bangalore
Reflektive,Layoffs,HR Tech,Yes,"Bangalore, California"
Reflexis systems,Offer rescinded,IT Infrastucture,Yes,Pune
Reliance Jio,Offer rescinded,Consumer Tech,,Mumbai
Reliance Retail,Hiring,Consumer Goods,No,India
RentoMojo.com,Layoffs,Consumer Services,Yes,Mumbai
Reverie Language,Hiring,Information Technology,,Bangalore
Revolution Craft Brewing,Hiring,Consumer Goods,,Hyderabad
Revolution Craft Brewing,Hiring,Retail,,India
Rheo,Hiring,Productivity Software,,India
Right Process Infotech,Hiring freezes,Education Tech,Yes,Hyderabad
Rivi,Hiring freezes,Travel & Transportation,No,Bangalore
Rizzle,Hiring,Communications,No,"San Jose, Hyderabad"
Rubrik Inc,Hiring freezes,IT Infrastucture,No,"USA, India"
Rubrik Inc,Hiring freezes,IT Infrastucture,No,Palo Alto
Rupeek,Hiring,Financial Services,No,Bangalore
Ryan India Tax Services,Hiring,Consulting & Services,No,Hyderabad
Rythmos,Layoffs,Consulting & Services,Yes,Hyderabad
Sabka Mandi,Hiring,Consumer Goods,,India
Safe Gold,Layoffs,Consumer Services,Yes,"Lower Parel, Mumbai"
SafeGold,Offer rescinded,Consumer Tech,Yes,Mumbai
Sahaj Software,Hiring,Consulting & Services,No,
Sahaj Software Solutions,Hiring,Information Technology,,"Bangalore, Pune, Chennai"
Salesforce,Hiring,Business Software,No,"Bangalore,Hyderabad"
Saltside,Hiring freezes,Consumer Tech,Yes,"Bangalore, Colombo, Dhaka"
Samagra Governance,Hiring,Consulting & Services,No,Delhi
Samsung India electronics,Layoffs,Consumer Goods,No,
Sarawagi Group,Hiring,Food & Dining,Yes,"Kathmandu, Nepal"
Savage & Palmer,Hiring,Financial Services,,India
Savage and Palmer,Hiring,Financial Services,,Mumbai
Saveo,Hiring,Healthcare,No,Bangalore
Schneider,Hiring freezes,,Yes,
Scientific Games,Hiring freezes,Media & Entertainment,Yes,"India, US"
Scientific Games,Hiring freezes,IT Infrastucture,Yes,
Searce,Hiring,Consulting & Services,,"Pune, Mumbai, Bangalore"
Searce,Hiring,Travel & Transportation,,India
Selltm,Hiring,Consumer Tech,No,Gurugram
Sequoia,Hiring,Venture Capital,,Multiple Locations
Sequoia.com,Hiring,Healthcare,No,"Bangalore, San Mateo, San Francisco"
ServiceNow,Hiring,Business Software,No,Hyderabad
Setu,Hiring,Manufacturing,,Bangalore
Shadowfax,Hiring,Travel & Transportation,No,
ShareChat,Hiring,Consumer Tech,No,Bangalore
Shell Business Operations,Hiring,Energy,No,Chennai
Shiksha,Hiring,Education Tech,,Noida
Shipsy,Hiring freezes,Travel & Transportation,No,Gurgaon
Shopmatic,Hiring,,No,
Shopmatic Group,Hiring,E-Commerce,No,"Singapore, Bangalore"
Shopmatic Pte Ltd,Hiring,,No,Singapore
shopmatic solutions pvt ltd,Hiring,,No,Bangalore
Shuttl,Layoffs,Travel & Transportation,Yes,India
SignEasy,Hiring,Business Software,No,
SigTuple Technologies,Layoffs,Healthcare,,Bangalore
SigTuple Technologies,Layoffs,Healthcare,Yes,Bangalore
Simpliance Technologies,Hiring freeze,Business Software,No,Bangalore
Simpliance Technologies,Hiring freeze,Business Software,No,Bangalore
Simpliance Technologies,Hiring freeze,Business Software,,Bangalore
Simpliance Technologies,Hiring freezes,Business Software,No,Bangalore
Simpplr,Hiring freezes,IT Infrastucture,No,Gurgaon
simsim,Hiring,E-Commerce,No,Delhi
Singh & Associates,Hiring,Marketing & Advertising,,Gurgaon
Sixt Research & Development,Hiring freezes,Travel & Transportation,No,Bangalore
Sixt Research & Development,Layoffs,Travel & Transportation,Yes,
Skeps,Hiring,Financial Services,,"India, US"
Skillsoft,Hiring,Education Tech,,Global
SmallCase,Hiring freezes,Financial Services,No,bangalore
Smarsh,Hiring,Business Software,No,Bangalore
Smartworks Coworking,Hiring,Real Estate,No,Bangalore
Snapdeal,Hiring freezes,E-Commerce,No,Gurgaon
Snapwiz,Hiring,Education Tech,No,Bangalore
SNic solutions,Layoffs,Consulting & Services,Yes,Bangalore
SOE Technologies,Hiring,Information Technology,,India
Sopra Steria India,Hiring freezes,Business Software,No,Noida
Spark Capital Advisors,Hiring freezes,Financial Services,Yes,Bangalore
Sparx IT Solutions,Hiring,Productivity Software,No,Noida sector 62
Spinny,Hiring freezes,Automotive,No,Gurgaon
SplashLearn,Hiring,Education Tech,No,Gurgaon
Spokesly,Hiring,Business Software,No,"USA, Bangalore"
SportzVillage,Hiring,Consumer Services,Yes,India
Spotify,Hiring,Consumer Tech,,India
Springboard,Hiring,Education Tech,,"India, California"
Springworks,Hiring,HR Tech,,Bangalore
SpurTree Technologies,Hiring freezes,Consulting & Services,Yes,Bangalore
Square Yards,Hiring,Real Estate,,Abu Dhabi
Srijan Technologies,Offer rescinded,Consulting & Services,Yes,
SS&C,Hiring,Financial Services,No,
Standard Chartered Bank,Hiring freezes,Financial Services,No,India
Stealth mode startup,Hiring,Consumer Tech,No,Bangalore
Stealth Startup,Hiring freeze,Consumer Tech,,India
SteelEye,Hiring,Financial Services,No,Bangalore
SteelEye,Hiring,Financial Services,,India
Stellium consulting Pvt Ltd,Hiring freezes,Consulting & Services,No,Bangalore
Sterlite Power,Hiring,Energy,No,India
Sterlite Technologies,Hiring freezes,Communications,Yes,"Aurangabad, Pune, Gurgaon"
Sterlite technology,Hiring,Consulting & Services,No,India
Steve Medius Private Ltd,Layoffs,Communications,,Delhi
Steve Medius Private Ltd,Layoffs,Communications,Yes,Delhi-NCR
stuMagz,Layoffs,Education Tech,Yes,Hyderabad
Styledotme,Hiring,Business Software,No,New Delhi
StyleNook.in,Hiring,Consumer Tech,,India
Stylenook.in,Hiring,Consumer Goods,,Mumbai
Subex,Hiring,Business Software,No,Bangalore
sundayrest.com,Hiring freeze,Consumer Goods,,Bangalore
sundayrest.com,Hiring,Consumer Goods,,Bangalore
Support mart,Hiring freezes,Consumer Services,Yes,Gurgaon
Swiggy,Offer rescinded,Food & Dining,Yes,Bangalore
Swiggy,Layoffs,Consumer Tech,No,
Swiggy,Hiring,Consumer Tech,No,"Chennai, Bangalore, Hyderabad"
Swiggy,Hiring,Consumer Tech,No,India
Swiggy Labs,Hiring freezes,Food & Dining,No,Bangalore
Synechron inc,Hiring freezes,Consulting & Services,No,Usa
Synup,Layoffs,Business Software,Yes,"India, US"
Synup,Layoffs,Business Software,No,Bangalore
Talview,Hiring,HR Tech,No,India
Tangoe,Layoffs,Business Software,Yes,
Taomish India,Hiring,Business Software,No,India
Taomish India,Hiring,Business Software,,India
TapChief,Hiring freezes,Business Software,Yes,India
Tars,Hiring,Business Software,No,Bangalore
Tata Consultancy Services,Hiring freezes,IT Infrastucture,No,
Tata Steel Ltd,Hiring,Manufacturing,No,India
Tataelxsi,Layoffs,Consulting & Services,Yes,Bangalore
Tech Bodhi,Hiring,Education Tech,No,Pune
Tech Mahindra,Hiring freezes,Business Software,No,India
Techwingsys,Hiring,Information Technology,,Ernakulam
TEDxGateway,Hiring,Media & Entertainment,,Mumbai
TekSystems,Layoffs,Consulting & Services,,Bangalore
Telangana Govt,Hiring freezes,Consulting & Services,Yes,India
Teradata,Hiring,Business Software,No,"Bangalore, Pune, Hyderabad"
Text Mercato Solutions,Layoffs,Business Software,Yes,Bangalore
The Times of India,Layoffs,Media & Entertainment,,India
The Wadhwani Institute,Hiring,Education Tech,,Mumbai
Thomas Cook,Hiring freezes,Travel & Transportation,Yes,Mumbai
Thoughtworks,Hiring freezes,Consulting & Services,Yes,
Thoughtworks,Layoffs,Business Software,Yes,India
Tibco,Hiring,IT Infrastucture,,
Tide,Hiring,Financial Services,No,Hyderabad
Tiger Analytics,Hiring,Consulting & Services,,Chennai
Times Internet,Hiring freezes,Financial Services,No,
To The New,Hiring freeze,Information Technology,,Delhi
Toddle,Hiring freezes,Education Tech,No,Bangalore
Tone Tag,Hiring freezes,Retail,Yes,India
TopHire.co,Hiring freeze,HR Tech,No,"Bangalore, Mumbai"
Toppr,Layoffs,Education Tech,Yes,Hyderabad
Toppr,Hiring freezes,Education Tech,Yes,"Mumbai, Hyderabad"
Toppr,Hiring freezes,Education Tech,No,Hyderabad
Toyota Connected,Hiring,Automotive,No,Chennai
Toyota Connected India,Hiring,Manufacturing,,India
Traction on Demand,Hiring freezes,Consumer Tech,Yes,"Jaipur, Canada, US"
Tracxn,Layoffs,,,
TransCloud Labs,Hiring,Consulting & Services,No,Chennai
Tranzo Digital Services,Hiring freeze,Business Software,,India
Tranzo Digital Services,Hiring,Travel & Transportation,,India
Tranzon Digital Services,Hiring,Business Software,No,Chennai
Travclan,Hiring,Travel & Transportation,No,Delhi
Traveloka,Layoffs,Travel & Transportation,No,Indonesia
Traveloka,Layoffs,Travel & Transportation,No,India
Traveltriangle,Layoffs,Travel & Transportation,No,Gurgaon
Travelyaari,Layoffs,Travel & Transportation,Yes,Bangalore
Traxcn,Hiring,Business Software,,India
Tredence Analytics,Hiring freeze,Consulting & Services,,Bangalore
Tredence Analytics,Hiring freezes,Consulting & Services,Yes,"Bangalore, Chicago"
Treebo,Layoffs,Hospitality,Yes,"Bangalore, Delhi"
Trianz,Hiring,IT Infrastucture,No,Hyderabad
Trident Group,Hiring freezes,Travel & Transportation,Yes,India
Trimble,Hiring,Consulting & Services,Yes,Worldwide
TripActions,Layoffs,Travel & Transportation,,Global
Tripeur,Hiring freezes,Travel & Transportation,Yes,Bangalore
Tripoto,Hiring freezes,Travel & Transportation,Yes,Delhi
Trodly,Layoffs,Travel & Transportation,No,Bangalore
Truebil,Layoffs,Automotive,Yes,Mumbai
Truebil,Layoffs,Consumer Tech,Yes,Pan India
